x_t,m_a_teste
5,0.9723958333333333
6,0.9690104166666664
7,0.9703125
8,0.9822916666666665
9,0.9869791666666666
10,0.9848958333333335
11,0.9888020833333334
12,0.9861979166666666
13,0.9882812500000002
14,0.9895833333333334
15,0.9903645833333334
16,0.9908854166666666
17,0.9854166666666668
18,0.9885416666666667
19,0.9908854166666666
20,0.9924479166666668
21,0.9919270833333333
22,0.9953125000000002
23,0.9924479166666667
24,0.9937499999999998
25,0.99609375
26,0.99609375
27,0.9971354166666668
28,0.9979166666666666
29,0.9968750000000002
30,0.9984375
31,0.9984375000000002
32,0.9986979166666664
33,0.9986979166666666
34,0.9971354166666668
35,0.9976562499999998
36,0.996875
37,0.9973958333333334
38,0.9979166666666665
39,0.9966145833333331
40,0.9981770833333335
41,0.9979166666666666
42,0.9984375
43,0.9986979166666666
44,0.9981770833333332
45,0.9984375
46,0.9979166666666666
47,0.9992187499999998
48,0.9971354166666668
49,0.9989583333333332
50,0.9989583333333334
51,0.9989583333333334
52,0.9989583333333334
53,0.9997395833333332
54,0.9986979166666666
55,0.99921875
56,0.9994791666666666
57,0.9989583333333334
58,0.9984375
59,0.9994791666666666
60,0.99921875
61,0.9986979166666666
62,0.9997395833333332
63,0.99921875
64,0.9994791666666666
65,0.9997395833333332
66,1
67,0.9994791666666666
68,1
69,1
70,1
71,1
72,1
73,1
74,0.9997395833333332
75,1
76,1
77,0.9997395833333332
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
